Symbol,Shares,Trade Price,Trade Date,Shares Outstanding,Open Price,Close Price,Avg daily Volume,Side,Broker
DISCK,22150,34.303313,12/2/2014,284595215.7,34.12,34.52,1673380,buy,Dilbert
DISH ,403179,75.738855,12/2/2014,229506335.7,74.15,77.33,4087075,buy,Dilbert
DJP  ,24540,32.593386,12/2/2014,44805022.04,32.47,32.6899,1130652,buy,Dilbert
DK   ,103196,30.392118,12/2/2014,59048485.55,29.44,31.07,1239939,buy,Dilbert
DKILY,153,137.605556,12/2/2014,145663927.1,99,99,744300,buy,Dilbert
DKL  ,96000,31.7088,12/2/2014,11834796.65,31.135,32.0164,448968,buy,Dilbert
DKS  ,31468,48.933216,12/2/2014,94698983.81,48.44,49.23,1380216,buy,Dilbert
DL   ,24177,17.8825,12/2/2014,99,17.83,18.13,164535,buy,Dilbert
DLAKY,20434,17.615875,12/2/2014,470803223.4,99,99,8598389,buy,Dilbert
DLB  ,1607,44.527917,12/2/2014,50456631.28,44.17,44.66,362248,buy,Dilbert
DLNG ,25000,16.17825,12/2/2014,20204374.77,15.99,16.38,113500,buy,Dilbert
DLPH ,245075,72.703166,12/2/2014,294979875.5,72.42,73.46,1720599,buy,Dilbert
DLR  ,69394,69.214021,12/2/2014,135817935.2,69.01,69.4,720014,buy,Dilbert
DLR.P,17,25.82,12/2/2014,11500000,25.82,25.82,10647,buy,Dilbert
DLR.P,6,25.69,12/2/2014,7254534.838,25.69,25.69,39106,buy,Dilbert
DLR.P,5,23.57,12/2/2014,9923631.735,23.57,23.57,34143,buy,Dilbert
DLTR ,323099,68.285663,12/2/2014,204615907.6,67.7681,68.78,2518691,buy,Dilbert
DLX  ,16317,58.832423,12/2/2014,49363950.66,58.62,59.98,149519,buy,Dilbert
DM   ,400,31.64,12/2/2014,29994399.99,30.67,32.15,476328,buy,Dilbert
DMD  ,3776,5.435,12/2/2014,19022966.03,5.27,5.51,176433,buy,Dilbert
DMLP ,55265,24.27137,12/2/2014,30950176.5,23.18,28.1297,72748,buy,Dilbert
DMND ,11978,29.514132,12/2/2014,31688690.48,29.4,29.76,210687,buy,Dilbert
DMRC ,501,27.4275,12/2/2014,6828163.237,27.28,27.6,671963,buy,Dilbert
DNB  ,50064,125.555028,12/2/2014,35774947.74,125,125.99,287804,buy,Dilbert
DNDNQ,386,0.1445,12/2/2014,139496888.2,99,99,7019095,buy,Dilbert
DNHBY,2454,162.157695,12/2/2014,164298004.3,99,99,718133,buy,Dilbert
DNKN ,15872,47.995307,12/2/2014,105575279.1,47.8201,48.57,1260819,buy,Dilbert
DNN  ,32600,0.979921,12/2/2014,511075599.6,0.9701,0.99,3176264,buy,Dilbert
DNOW ,175283,25.301198,12/2/2014,109096811.2,24.18,25.76,3434898,buy,Dilbert
DNP  ,100,10.54,12/2/2014,275184033.2,10.535,10.535,316640,buy,Dilbert
DNPLY,57472,8.886792,12/2/2014,702911999.2,99,99,1709430,buy,Dilbert
DNR  ,1154135,7.969862,12/2/2014,385716813.2,7.7217,9.9575,14674880,buy,Dilbert
DNSKY,1472,14.062167,12/2/2014,2023242320,99,99,3570420,buy,Dilbert
DNZOY,2781,24.654075,12/2/2014,1722550958,99,99,5652288,buy,Dilbert
DO   ,1672205,30.551244,12/2/2014,136926815.5,29.89,31.31,3379399,buy,Dilbert
DOC  ,82398,15.414661,12/2/2014,47269518.65,15.24,15.46,483317,buy,Dilbert
DOOR ,363,58.3476,12/2/2014,29528938.9,57.95,58.29,137234,buy,Dilbert
DORM ,12593,48.258314,12/2/2014,35046137.03,47.42,48.64,228291,buy,Dilbert
DOV  ,750885,76.436604,12/2/2014,162327181.6,73.98,77.1,3851485,buy,Dilbert
DOW  ,764449,48.709285,12/2/2014,1165304268,47.46,48.98,9236465,buy,Dilbert
